university,degree,season,decision,gpa,gre_verbal,gre_quant,gre_writing,status,uni_faculty,uni_pub,world_ranking
Florida State University (FSU),MS,F15,Accepted,3.83,142.0,161.0,3.0,International,14.0,1.4,225
"University Of Illinois, Chicago (UIC)",MS,F15,Accepted,3.83,142.0,161.0,3.0,International,33.0,2.8,197
Arizona State University (ASU),MS,F15,Rejected,3.83,142.0,161.0,3.0,International,26.0,2.3,161
New York University (NYU),MS,F15,Rejected,3.83,142.0,161.0,3.0,International,46.0,4.3,60
University Of Georgia,MS,F15,Accepted,3.87,142.0,161.0,3.0,International,7.0,1.3,213
"University Of California, Davis (UCD)",MS,F15,Accepted,3.4,158.0,163.0,4.0,International,28.0,2.9,54
"University Of Minnesota, Twin Cities (UMN)",MS,F15,Accepted,3.6,161.0,170.0,4.0,International,37.0,3.1,52
"University Of Minnesota, Twin Cities (UMN)",MS,F15,Accepted,3.94,144.0,168.0,3.0,International with US Degree,37.0,3.1,52
University Of Southern California (USC),PhD,F15,Rejected,3.55,160.0,167.0,3.5,International,50.0,5.7,73
Northeastern University,MS,F15,Accepted,3.0,158.0,161.0,3.5,International,55.0,4.7,213
"University Of California, Irvine (UCI)",MS,F15,Rejected,3.5,144.0,145.0,3.0,International,55.0,4.3,49
George Mason University (GMU),PhD,F15,Rejected,3.28,148.0,157.0,3.5,International,28.0,2.0,325
Washington State University (WSU),PhD,F15,Accepted,3.28,148.0,157.0,3.5,International,12.0,1.4,325
"University Of Florida, Gainesville (UFL)",MS,F15,Accepted,3.15,157.0,165.0,4.5,International,23.0,1.9,125
New York University (NYU),MS,F15,Accepted,3.4,150.0,167.0,4.0,International,46.0,4.3,60
"University Of California, Irvine (UCI)",MS,F15,Rejected,3.6,158.0,163.0,4.0,International,55.0,4.3,49
George Mason University (GMU),PhD,F15,Rejected,2.96,152.0,167.0,3.5,International,28.0,2.0,325
University Of South Florida (USF),PhD,F15,Rejected,2.96,152.0,167.0,3.5,International,10.0,1.3,325
Colorado State University (CSU),PhD,F15,Rejected,2.96,152.0,167.0,3.5,International,10.0,1.2,238
Arizona State University (ASU),MS,F15,Rejected,3.45,150.0,166.0,3.5,International,26.0,2.3,161
"University Of Washington, Seattle (UW)",MS,F15,Accepted,3.76,162.0,163.0,5.0,International,57.0,8.4,23
Rensselaer Polytechnic Institute (RPI),PhD,F15,Accepted,3.76,162.0,163.0,5.0,International,13.0,1.8,104
"University Of Colorado, Boulder",PhD,F15,Accepted,3.89,158.0,168.0,4.0,International,47.0,3.0,67
Rensselaer Polytechnic Institute (RPI),PhD,F15,Accepted,3.89,158.0,168.0,4.0,International,13.0,1.8,104
"University Of California, Santa Barbara (UCSB)",MS,F15,Accepted,3.85,157.0,167.0,4.0,International,25.0,3.5,29
Columbia University,MS,F15,Accepted,3.6,154.0,170.0,3.5,International,47.0,5.8,18
"University Of California, Santa Barbara (UCSB)",MS,F15,Accepted,3.35,157.0,170.0,4.0,International,25.0,3.5,29
Columbia University,MS,F15,Accepted,3.6,158.0,163.0,4.0,International,47.0,5.8,18
"University Of California, Irvine (UCI)",MS,F15,Rejected,3.8,154.0,164.0,3.5,International,55.0,4.3,49
Columbia University,MS,F15,Accepted,3.8,155.0,170.0,3.5,International,47.0,5.8,18
"University Of California, Santa Barbara (UCSB)",PhD,F15,Rejected,3.8,157.0,168.0,4.0,International with US Degree,25.0,3.5,29
Northeastern University,MS,F15,Accepted,3.3,154.0,156.0,4.0,International,55.0,4.7,213
"Indiana University, Bloomington",MS,F15,Accepted,3.3,154.0,156.0,4.0,International,42.0,2.6,156
"University Of Michigan, Ann Arbor (UMich)",MS,F15,Accepted,3.69,167.0,164.0,5.0,American,63.0,8.6,15
University Of Virginia (UVA),PhD,F15,Rejected,3.45,143.0,164.0,3.0,International,21.0,2.4,72
"University Of Michigan, Ann Arbor (UMich)",MS,F15,Rejected,3.83,161.0,160.0,5.0,American,63.0,8.6,15
Arizona State University (ASU),PhD,F15,Accepted,3.4,158.0,163.0,4.0,International,26.0,2.3,161
University Of Southern California (USC),MS,F15,Accepted,3.32,162.0,153.0,4.0,American,50.0,5.7,73
"University Of Florida, Gainesville (UFL)",MS,F15,Rejected,3.7,154.0,163.0,3.5,International,23.0,1.9,125
Brown University,MS,F15,Accepted,3.4,155.0,165.0,4.0,International,26.0,3.3,55
University Of Delaware,PhD,F15,Rejected,3.71,156.0,168.0,3.5,International,11.0,1.4,159
"University Of California, Irvine (UCI)",MS,F15,Rejected,3.94,151.0,161.0,4.0,International,55.0,4.3,49
Pennsylvania State University (Penn State),PhD,F15,Rejected,3.91,163.0,160.0,5.0,International with US Degree,33.0,3.4,109
Cornell University,MS,F15,Rejected,3.25,156.0,169.0,3.5,International,68.0,8.7,14
University Of Rochester,PhD,F15,Rejected,3.14,145.0,165.0,3.0,International,21.0,2.1,81
"Texas A&M University, College Station (TAMU)",MS,F15,Rejected,4.0,162.0,164.0,4.0,International,38.0,3.1,164
"Texas A&M University, College Station (TAMU)",MS,F15,Rejected,3.7,151.0,162.0,4.0,International,38.0,3.1,164
"Texas A&M University, College Station (TAMU)",MS,F15,Rejected,3.48,158.0,168.0,4.0,International,38.0,3.1,164
"University Of California, Irvine (UCI)",MS,F15,Rejected,3.48,158.0,168.0,4.0,International,55.0,4.3,49
"Texas A&M University, College Station (TAMU)",MS,F15,Rejected,3.62,150.0,161.0,3.0,Other,38.0,3.1,164
"Texas A&M University, College Station (TAMU)",MS,F15,Rejected,3.5,155.0,165.0,4.0,International,38.0,3.1,164
"Texas A&M University, College Station (TAMU)",MS,F15,Rejected,3.45,150.0,166.0,3.5,International,38.0,3.1,164
"University Of California, Santa Barbara (UCSB)",MS,F15,Rejected,3.38,142.0,164.0,3.0,International,25.0,3.5,29
"University Of Florida, Gainesville (UFL)",MS,F15,Rejected,4.0,150.0,162.0,3.5,International,23.0,1.9,125
Virginia Tech,MS,F15,Accepted,3.6,160.0,166.0,5.0,International,39.0,2.4,72
"University Of Florida, Gainesville (UFL)",MS,F15,Rejected,3.2,153.0,161.0,3.5,International,23.0,1.9,125
"University Of Florida, Gainesville (UFL)",MS,F15,Rejected,3.7,151.0,162.0,4.0,International,23.0,1.9,125
"University Of California, Irvine (UCI)",MS,F15,Rejected,3.77,155.0,167.0,4.0,International,55.0,4.3,49
Johns Hopkins University (JHU),PhD,F15,Rejected,3.6,144.0,170.0,3.0,International,22.0,2.4,13
Purdue University,MS,F15,Accepted,3.5,145.0,160.0,4.0,American,53.0,4.8,106
"University Of Michigan, Ann Arbor (UMich)",MS,F15,Rejected,3.5,150.0,170.0,3.0,International,63.0,8.6,15
Johns Hopkins University (JHU),PhD,F15,Rejected,4.0,159.0,161.0,4.0,International with US Degree,22.0,2.4,13
"University Of California, Los Angeles (UCLA)",PhD,F15,Accepted,3.76,169.0,164.0,6.0,American,37.0,5.0,11
Purdue University,MS,F15,Rejected,3.74,154.0,167.0,3.5,International,53.0,4.8,106
"Indiana University, Bloomington",MS,F15,Rejected,3.03,144.0,161.0,2.5,International,42.0,2.6,156
"University Of California, San Diego (UCSD)",MS,F15,Rejected,3.3,161.0,158.0,4.5,American,53.0,6.9,32
"University Of California, San Diego (UCSD)",MS,F15,Rejected,3.5,150.0,170.0,3.0,International,53.0,6.9,32
"University Of California, San Diego (UCSD)",MS,F15,Rejected,3.5,150.0,170.0,3.0,International,53.0,6.9,32
"University Of California, San Diego (UCSD)",PhD,F15,Rejected,3.65,159.0,165.0,3.5,International,53.0,6.9,32
"University Of Michigan, Ann Arbor (UMich)",MS,F15,Accepted,3.96,147.0,170.0,3.5,International with US Degree,63.0,8.6,15
"University Of California, Riverside (UCR)",MS,F15,Accepted,3.8,160.0,155.0,5.0,American,36.0,2.8,117
Pennsylvania State University (Penn State),MS,F15,Accepted,3.79,152.0,155.0,3.0,American,33.0,3.4,109
"University Of Florida, Gainesville (UFL)",MS,F15,Accepted,3.45,153.0,168.0,3.0,International,23.0,1.9,125
Purdue University,MS,F15,Rejected,3.8,154.0,164.0,3.5,International,53.0,4.8,106
Arizona State University (ASU),PhD,F15,Rejected,3.74,143.0,157.0,3.0,International,26.0,2.3,161
"University Of Florida, Gainesville (UFL)",MS,F15,Rejected,3.5,170.0,151.0,4.0,International,23.0,1.9,125
Johns Hopkins University (JHU),MS,F15,Rejected,3.76,160.0,169.0,5.0,International,22.0,2.4,13
University Of Southern California (USC),MS,F15,Accepted,3.7,150.0,160.0,3.0,International,50.0,5.7,73
University Of Southern California (USC),MS,F15,Accepted,4.0,156.0,165.0,3.5,International,50.0,5.7,73
University Of Pennsylvania (UPenn),MS,F15,Rejected,3.81,158.0,163.0,4.0,American,46.0,5.6,19
Cornell University,PhD,F15,Rejected,3.8,157.0,168.0,4.0,International with US Degree,68.0,8.7,14
"University Of Massachusetts, Amherst (UMass)",MS,F15,Rejected,3.35,160.0,170.0,4.5,International,50.0,4.7,56
"University Of Massachusetts, Amherst (UMass)",MS,F15,Accepted,3.44,162.0,163.0,4.5,International,50.0,4.7,56
"University Of Massachusetts, Amherst (UMass)",MS,F15,Rejected,3.0,156.0,170.0,3.0,International,50.0,4.7,56
"University Of Massachusetts, Amherst (UMass)",MS,F15,Rejected,3.5,158.0,163.0,4.0,International,50.0,4.7,56
University Of Southern California (USC),MS,F15,Accepted,3.83,156.0,164.0,2.5,International with US Degree,50.0,5.7,73
"University Of California, Santa Barbara (UCSB)",PhD,F15,Rejected,3.3,154.0,168.0,4.0,International,25.0,3.5,29
"University Of California, San Diego (UCSD)",MS,F15,Accepted,3.3,170.0,157.0,3.5,International,53.0,6.9,32
"University Of California, San Diego (UCSD)",PhD,F15,Rejected,3.66,158.0,162.0,4.0,International,53.0,6.9,32
University Of New Mexico (UNM),PhD,F15,Accepted,3.5,160.0,149.0,3.0,International,14.0,1.5,260
Vanderbilt University,PhD,F15,Rejected,3.7,166.0,169.0,5.0,American,15.0,1.5,51
Vanderbilt University,MS,F15,Rejected,3.14,145.0,165.0,3.0,International,15.0,1.5,51
"University Of Massachusetts, Amherst (UMass)",MS,F15,Accepted,3.5,170.0,152.0,3.0,International,50.0,4.7,56
"University Of California, San Diego (UCSD)",PhD,F15,Rejected,3.9,150.0,170.0,3.0,International,53.0,6.9,32
"University Of California, Irvine (UCI)",MS,F15,Accepted,3.42,154.0,170.0,3.5,International,55.0,4.3,49
New York University (NYU),MS,F15,Accepted,3.4,157.0,165.0,4.0,International,46.0,4.3,60
Johns Hopkins University (JHU),MS,F15,Accepted,3.47,154.0,170.0,3.5,International with US Degree,22.0,2.4,13
"University Of California, Los Angeles (UCLA)",MS,F15,Rejected,3.8,156.0,168.0,4.0,International,37.0,5.0,11
"University Of California, Los Angeles (UCLA)",MS,F15,Rejected,3.85,152.0,169.0,3.0,International,37.0,5.0,11
Columbia University,PhD,F15,Rejected,3.8,162.0,158.0,3.5,International,47.0,5.8,18
"University Of California, Los Angeles (UCLA)",PhD,F15,Rejected,3.68,141.0,170.0,3.5,International,37.0,5.0,11
"University Of California, Los Angeles (UCLA)",MS,F15,Rejected,3.42,159.0,159.0,4.0,International,37.0,5.0,11
"University Of California, Los Angeles (UCLA)",MS,F15,Rejected,3.65,161.0,170.0,5.0,International,37.0,5.0,11
"University Of California, Los Angeles (UCLA)",MS,F15,Rejected,3.9,168.0,152.0,4.0,International,37.0,5.0,11
"University Of California, Los Angeles (UCLA)",MS,F15,Rejected,4.0,148.0,170.0,3.5,International,37.0,5.0,11
"University Of California, Los Angeles (UCLA)",MS,F15,Rejected,4.0,156.0,165.0,3.0,International,37.0,5.0,11
Columbia University,MS,F15,Accepted,3.56,152.0,169.0,4.0,International,47.0,5.8,18
Columbia University,MS,F15,Accepted,3.51,162.0,168.0,4.0,International,47.0,5.8,18
Columbia University,MS,F15,Accepted,3.9,152.0,168.0,4.0,International,47.0,5.8,18
"University Of Texas, Austin (UT Austin)",MS,F15,Rejected,3.79,152.0,167.0,3.0,International with US Degree,42.0,5.4,29
"University Of California, Riverside (UCR)",MS,F15,Wait listed,3.94,151.0,161.0,4.0,International,36.0,2.8,117
Columbia University,PhD,F15,Rejected,3.8,159.0,161.0,4.5,American,47.0,5.8,18
Tufts University,PhD,F15,Rejected,3.3,141.0,160.0,3.0,International,13.0,1.6,53
"University Of Massachusetts, Amherst (UMass)",MS,F15,Accepted,3.4,146.0,144.0,3.0,International,50.0,4.7,56
Columbia University,PhD,F15,Rejected,3.42,161.0,167.0,3.5,International,47.0,5.8,18
Columbia University,PhD,F15,Rejected,3.92,159.0,166.0,4.5,International with US Degree,47.0,5.8,18
Iowa State University (ISU),PhD,F15,Accepted,3.65,147.0,170.0,3.0,International,15.0,1.5,156
"University Of California, Los Angeles (UCLA)",PhD,F15,Rejected,3.8,160.0,168.0,4.5,American,37.0,5.0,11
University Of Utah (UoU),PhD,F15,Rejected,3.14,145.0,165.0,3.0,International,40.0,3.6,83
"University Of California, San Diego (UCSD)",PhD,F15,Rejected,3.55,149.0,162.0,3.5,International,53.0,6.9,32
University Of Utah (UoU),MS,F15,Rejected,3.7,154.0,163.0,3.5,International,40.0,3.6,83
University Of Utah (UoU),MS,F15,Rejected,3.3,147.0,168.0,3.0,International,40.0,3.6,83
Columbia University,MS,F15,Accepted,3.97,164.0,169.0,4.5,International,47.0,5.8,18
University Of Chicago (UChicago),MS,F15,Accepted,3.3,164.0,166.0,5.5,American,23.0,2.7,12
George Washington University (GWU),PhD,F15,Rejected,2.7,148.0,166.0,3.5,Other,11.0,1.4,95
University Of Virginia (UVA),PhD,F15,Accepted,3.71,150.0,170.0,4.0,International,21.0,2.4,72
"University Of Texas, Austin (UT Austin)",MS,F15,Rejected,3.6,161.0,170.0,4.0,International,42.0,5.4,29
