"degree","decision_method","gpa","gre_verbal","gre_quant","status","uni_faculty","uni_pub","decision_month"
"PhD","E-mail",NA,NA,NA,"International",152,18.1,2
"MS","E-mail",3.76,162,163,"International",57,8.4,4
"PhD","E-mail",NA,NA,NA,"International with US Degree",152,18.1,2
"MS","Website",3.4,170,139,"International",26,2.3,3
"PhD","E-mail",NA,NA,NA,"International",21,2.1,3
"MS","E-mail",2.7,158,161,"American",28,2,5
"PhD","E-mail",NA,NA,NA,"International",42,5.4,3
"PhD","E-mail",3.3,154,170,"International",21,2.1,3
"PhD","E-mail",3.4,151,166,"Other",57,8.4,2
"MS","E-mail",NA,155,162,"International",30,2.3,3
"PhD","E-mail",NA,NA,NA,"International",68,8.7,2
"MS","E-mail",NA,NA,NA,"International",83,9.9,2
"PhD","Phone",3.76,163,166,"International with US Degree",68,8.7,3
"PhD","E-mail",NA,NA,NA,"International",53,4.8,2
"MS","E-mail",NA,NA,NA,"American",83,9.9,11
"PhD","Website",NA,NA,NA,"Other",26,3.3,2
"PhD","E-mail",NA,NA,NA,"International",7,1.3,3
"PhD","E-mail",NA,NA,NA,"International with US Degree",152,18.1,2
"PhD","E-mail",NA,NA,NA,"International",19,1.9,4
"PhD","E-mail",3.84,166,168,"International",35,3.4,3
"MS","E-mail",NA,NA,NA,"International",50,4.7,3
"PhD","E-mail",NA,NA,NA,"International",35,3.4,4
"MS","E-mail",NA,NA,NA,"International",53,4.8,2
"PhD","E-mail",3.56,151,169,"International",152,18.1,3
"MS","E-mail",NA,NA,NA,"International",22,2.8,3
"PhD","E-mail",NA,170,159,"International",83,9.9,2
"PhD","E-mail",3.42,142,170,"International",53,4.8,2
"PhD","E-mail",NA,NA,NA,"American",48,5.9,3
"PhD","Website",NA,NA,NA,"American",83,11.1,2
"MS","E-mail",NA,NA,NA,"International",19,1.9,1
"MS","Website",NA,149,168,"International",73,6.7,3
"PhD","E-mail",NA,157,170,"International",40,3.6,2
"PhD","Website",3.2,169,154,"International",29,4.2,3
"PhD","E-mail",NA,NA,NA,"International",52,6.4,2
"PhD","E-mail",3.9,147,162,"International",57,11.5,2
"MS","Website",3,162,160,"International",26,2.3,3
"MS","E-mail",NA,NA,NA,"American",53,6.9,3
"PhD","E-mail",NA,NA,NA,"International",53,6.9,4
"PhD","E-mail",4,162,166,"International with US Degree",57,11.5,2
"MS","Website",4,156,165,"International",50,4.7,3
"MS","E-mail",NA,NA,NA,"International",83,9.9,3
"PhD","Website",3.8,166,166,"International",NA,NA,2
"PhD","Website",3.02,151,167,"International",52,6.4,3
"MS","E-mail",3.88,168,162,"International",47,5.8,3
"PhD","E-mail",NA,NA,NA,"American",55,4.7,3
"MS","Website",3.3,149,170,"American",42,5.4,4
"MS","Website",3.7,151,168,"International",55,4.3,4
"PhD","E-mail",NA,163,156,"International",6,1.1,2
"PhD","E-mail",NA,NA,NA,"International",42,5.4,3
"PhD","E-mail",3.9,169,155,"International",63,8.6,1
"PhD","E-mail",NA,157,170,"International",29,4.2,2
"PhD","E-mail",NA,NA,NA,"American",68,8.7,2
"MS","E-mail",NA,NA,NA,"International",46,4.3,4
"PhD","E-mail",NA,NA,NA,"International",152,18.1,2
"MS","E-mail",NA,NA,NA,"International",48,5.9,2
"PhD","E-mail",4,159,161,"International with US Degree",22,2.4,4
"PhD","E-mail",3.44,143,166,"American",57,8.4,2
"PhD","E-mail",NA,170,166,"International",57,11.5,2
"MS","E-mail",3.5,157,162,"International",48,5.9,2
"PhD","Website",NA,NA,NA,"International",29,4.2,3
"MS","Website",3.55,156,170,"International",30,2.3,3
"PhD","Website",4,154,166,"International",85,12.3,2
"PhD","E-mail",NA,NA,NA,"International with US Degree",NA,NA,1
"PhD","E-mail",3.85,161,170,"International",83,11.1,2
