is_phd,is_ms,is_spring,is_fall,year,university_name,university_ranking,university_faculty,university_publication,gpa,gre_verbal,gre_quant,gre_writing,is_american,is_international_without_american_degree,is_international_with_american_degree
False,True,True,False,15,"Texas A&M University, College Station (TAMU)",164,38.0,3.1,4.0,162.0,164.0,4.0,False,True,False
False,True,True,False,15,"Texas A&M University, College Station (TAMU)",164,38.0,3.1,3.7,151.0,162.0,4.0,False,True,False
False,True,True,False,15,"Texas A&M University, College Station (TAMU)",164,38.0,3.1,3.48,158.0,168.0,4.0,False,True,False
False,True,True,False,15,"University Of California, Irvine (UCI)",49,55.0,4.3,3.48,158.0,168.0,4.0,False,True,False
False,True,True,False,15,"Texas A&M University, College Station (TAMU)",164,38.0,3.1,3.62,150.0,161.0,3.0,False,True,False
False,True,True,False,15,"Texas A&M University, College Station (TAMU)",164,38.0,3.1,3.5,155.0,165.0,4.0,False,True,False
False,True,True,False,15,"Texas A&M University, College Station (TAMU)",164,38.0,3.1,3.45,150.0,166.0,3.5,False,True,False
False,True,True,False,15,"University Of California, Santa Barbara (UCSB)",29,25.0,3.5,3.38,142.0,164.0,3.0,False,True,False
False,True,True,False,15,"University Of Florida, Gainesville (UFL)",125,23.0,1.9,4.0,150.0,162.0,3.5,False,True,False
False,True,True,False,15,Virginia Tech,72,39.0,2.4,3.6,160.0,166.0,5.0,False,True,False
False,True,True,False,15,"University Of Florida, Gainesville (UFL)",125,23.0,1.9,3.2,153.0,161.0,3.5,False,True,False
False,True,True,False,15,"University Of Florida, Gainesville (UFL)",125,23.0,1.9,3.7,151.0,162.0,4.0,False,True,False
False,True,True,False,15,"University Of California, Irvine (UCI)",49,55.0,4.3,3.77,155.0,167.0,4.0,False,True,False
True,False,True,False,15,Johns Hopkins University (JHU),13,22.0,2.4,3.6,144.0,170.0,3.0,False,True,False
False,True,True,False,15,Purdue University,106,53.0,4.8,3.5,145.0,160.0,4.0,True,False,False
False,True,True,False,15,"University Of Michigan, Ann Arbor (UMich)",15,63.0,8.6,3.5,150.0,170.0,3.0,False,True,False
True,False,True,False,15,Johns Hopkins University (JHU),13,22.0,2.4,4.0,159.0,161.0,4.0,False,False,True
True,False,True,False,15,"University Of California, Los Angeles (UCLA)",11,37.0,5.0,3.76,169.0,164.0,6.0,True,False,False
False,True,True,False,15,Purdue University,106,53.0,4.8,3.74,154.0,167.0,3.5,False,True,False
False,True,True,False,15,"Indiana University, Bloomington",156,42.0,2.6,3.03,144.0,161.0,2.5,False,True,False
False,True,True,False,15,"University Of California, San Diego (UCSD)",32,53.0,6.9,3.3,161.0,158.0,4.5,True,False,False
False,True,True,False,15,"University Of California, San Diego (UCSD)",32,53.0,6.9,3.5,150.0,170.0,3.0,False,True,False
False,True,True,False,15,"University Of California, San Diego (UCSD)",32,53.0,6.9,3.5,150.0,170.0,3.0,False,True,False
True,False,True,False,15,"University Of California, San Diego (UCSD)",32,53.0,6.9,3.65,159.0,165.0,3.5,False,True,False
False,True,True,False,15,"University Of Michigan, Ann Arbor (UMich)",15,63.0,8.6,3.96,147.0,170.0,3.5,False,False,True
False,True,True,False,15,"University Of California, Riverside (UCR)",117,36.0,2.8,3.8,160.0,155.0,5.0,True,False,False
False,True,True,False,15,Pennsylvania State University (Penn State),109,33.0,3.4,3.79,152.0,155.0,3.0,True,False,False
False,True,True,False,15,"University Of Florida, Gainesville (UFL)",125,23.0,1.9,3.45,153.0,168.0,3.0,False,True,False
